image_path,label,provenance
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00000237_016.jpg,PLAYFUL,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00000059_004.jpg,ANXIOUS,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00000634_007.jpg,ANXIOUS,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00000575_001.jpg,RELAXED,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00000533_023.jpg,ALERT,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00000298_014.jpg,RELAXED,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00000219_014.jpg,ALERT,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00001348_005.jpg,ALERT,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00000189_022.jpg,ALERT,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00001455_022.jpg,RELAXED,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00001051_005.jpg,RELAXED,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00000074_001.jpg,RELAXED,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00000068_028.jpg,RELAXED,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00000201_011.jpg,ALERT,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00000525_012.jpg,ANXIOUS,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00000551_009.jpg,RELAXED,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00001242_020.jpg,RELAXED,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00001482_017.jpg,ALERT,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00000061_004.jpg,ALERT,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00001390_015.jpg,ALERT,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00000447_018.jpg,RELAXED,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00001346_028.jpg,ALERT,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00001045_029.jpg,ALERT,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00000528_018.jpg,ANXIOUS,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00001109_021.jpg,RELAXED,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00001453_001.jpg,ALERT,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00000639_026.jpg,RELAXED,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00000013_021.jpg,ALERT,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00000349_022.jpg,ALERT,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00001052_007.jpg,ALERT,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00000861_001.jpg,RELAXED,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00000638_021.jpg,RELAXED,ai
C:\Users\HP\OneDrive\Desktop\catalyze v.2\data\raw\crawford\images\00000340_014.jpg,ALERT,ai
